,cluster
TCGA-XX-0001,1
TCGA-XX-0002,0
TCGA-XX-0003,0
TCGA-XX-0004,0
TCGA-XX-0005,0
TCGA-XX-0006,1
TCGA-XX-0007,0
TCGA-XX-0008,0
TCGA-XX-0009,1
TCGA-XX-0010,0
TCGA-XX-0011,0
TCGA-XX-0012,0
TCGA-XX-0013,0
TCGA-XX-0014,1
TCGA-XX-0015,0
TCGA-XX-0016,1
TCGA-XX-0017,1
TCGA-XX-0018,0
TCGA-XX-0019,0
TCGA-XX-0020,0
TCGA-XX-0021,0
TCGA-XX-0022,1
TCGA-XX-0023,1
TCGA-XX-0024,0
TCGA-XX-0025,1
TCGA-XX-0026,0
TCGA-XX-0027,0
TCGA-XX-0028,0
TCGA-XX-0029,0
TCGA-XX-0030,0
TCGA-XX-0031,1
TCGA-XX-0032,0
TCGA-XX-0033,0
TCGA-XX-0034,1
TCGA-XX-0035,0
TCGA-XX-0036,1
TCGA-XX-0037,1
TCGA-XX-0038,1
TCGA-XX-0039,0
TCGA-XX-0040,1
TCGA-XX-0041,1
TCGA-XX-0042,0
TCGA-XX-0043,1
TCGA-XX-0044,1
TCGA-XX-0045,0
TCGA-XX-0046,0
TCGA-XX-0047,1
TCGA-XX-0048,1
TCGA-XX-0049,0
TCGA-XX-0050,0
TCGA-XX-0051,1
TCGA-XX-0052,0
TCGA-XX-0053,1
TCGA-XX-0054,0
TCGA-XX-0055,1
TCGA-XX-0056,0
TCGA-XX-0057,0
TCGA-XX-0058,0
TCGA-XX-0059,0
TCGA-XX-0060,0
TCGA-XX-0061,1
TCGA-XX-0062,1
TCGA-XX-0063,1
TCGA-XX-0064,0
TCGA-XX-0065,1
TCGA-XX-0066,0
TCGA-XX-0067,1
TCGA-XX-0068,0
TCGA-XX-0069,0
TCGA-XX-0070,0
TCGA-XX-0071,1
TCGA-XX-0072,0
TCGA-XX-0073,0
TCGA-XX-0074,1
TCGA-XX-0075,0
TCGA-XX-0076,1
TCGA-XX-0077,1
TCGA-XX-0078,1
TCGA-XX-0079,1
TCGA-XX-0080,1
TCGA-XX-0081,1
TCGA-XX-0082,0
TCGA-XX-0083,0
TCGA-XX-0084,1
TCGA-XX-0085,0
TCGA-XX-0086,0
TCGA-XX-0087,1
TCGA-XX-0088,1
TCGA-XX-0089,1
TCGA-XX-0090,0
TCGA-XX-0091,0
TCGA-XX-0092,1
TCGA-XX-0093,0
TCGA-XX-0094,1
TCGA-XX-0095,0
TCGA-XX-0096,1
TCGA-XX-0097,1
TCGA-XX-0098,0
TCGA-XX-0099,1
TCGA-XX-0100,1
TCGA-XX-0101,1
TCGA-XX-0102,0
TCGA-XX-0103,1
TCGA-XX-0104,1
TCGA-XX-0105,1
TCGA-XX-0106,0
TCGA-XX-0107,1
TCGA-XX-0108,1
TCGA-XX-0109,0
TCGA-XX-0110,1
TCGA-XX-0111,0
TCGA-XX-0112,0
TCGA-XX-0113,0
TCGA-XX-0114,0
TCGA-XX-0115,1
TCGA-XX-0116,1
TCGA-XX-0117,1
TCGA-XX-0118,1
TCGA-XX-0119,0
TCGA-XX-0120,1
TCGA-XX-0121,0
TCGA-XX-0122,1
TCGA-XX-0123,0
TCGA-XX-0124,0
TCGA-XX-0125,0
TCGA-XX-0126,1
TCGA-XX-0127,0
TCGA-XX-0128,0
TCGA-XX-0129,1
TCGA-XX-0130,1
TCGA-XX-0131,1
TCGA-XX-0132,1
TCGA-XX-0133,0
TCGA-XX-0134,0
TCGA-XX-0135,1
TCGA-XX-0136,0
TCGA-XX-0137,1
TCGA-XX-0138,1
TCGA-XX-0139,0
TCGA-XX-0140,1
TCGA-XX-0141,0
TCGA-XX-0142,0
TCGA-XX-0143,1
TCGA-XX-0144,1
TCGA-XX-0145,0
TCGA-XX-0146,1
TCGA-XX-0147,0
TCGA-XX-0148,1
TCGA-XX-0149,1
TCGA-XX-0150,0
TCGA-XX-0151,1
TCGA-XX-0152,1
TCGA-XX-0153,0
TCGA-XX-0154,0
TCGA-XX-0155,1
TCGA-XX-0156,1
TCGA-XX-0157,1
TCGA-XX-0158,1
TCGA-XX-0159,1
TCGA-XX-0160,1
TCGA-XX-0161,0
TCGA-XX-0162,0
TCGA-XX-0163,0
TCGA-XX-0164,0
TCGA-XX-0165,0
TCGA-XX-0166,1
TCGA-XX-0167,0
TCGA-XX-0168,1
TCGA-XX-0169,1
TCGA-XX-0170,0
TCGA-XX-0171,1
TCGA-XX-0172,0
TCGA-XX-0173,1
TCGA-XX-0174,0
TCGA-XX-0175,0
TCGA-XX-0176,1
TCGA-XX-0177,1
TCGA-XX-0178,1
TCGA-XX-0179,1
TCGA-XX-0180,0
TCGA-XX-0181,1
TCGA-XX-0182,1
TCGA-XX-0183,1
TCGA-XX-0184,1
TCGA-XX-0185,1
TCGA-XX-0186,1
TCGA-XX-0187,1
TCGA-XX-0188,1
TCGA-XX-0189,1
TCGA-XX-0190,1
TCGA-XX-0191,0
TCGA-XX-0192,1
TCGA-XX-0193,1
TCGA-XX-0194,0
TCGA-XX-0195,1
TCGA-XX-0196,1
TCGA-XX-0197,1
TCGA-XX-0198,1
TCGA-XX-0199,1
TCGA-XX-0200,0
