,Subtype_0,Subtype_1,Subtype_2,Subtype_3
MACROD2,-1.585583026558329,1.585583026558329,-2.104104861747658,-2.121786415207722
WWOX,-1.1606666108358703,-2.385877608810906,0.7303706965747673,-0.7303706965747673
IMMP2L,-1.4213807964579328,-1.3004122180359812,-2.438272908817465,1.3004122180359812
PTPRD,-1.6273328746404754,0.7524227269843058,-2.2869690780707193,-0.7524227269843058
NAALADL2,0.4981217011149965,-0.4981217011149965,-1.9920356072669474,-1.895028210763574
PDE4D,-0.37313272116358603,-2.2022146876517517,0.31460209823596436,-0.31460209823596436
GATA4,-2.098891748782592,-2.0630825993198565,1.774371331776553,-1.774371331776553
GMDS,1.3927519520862293,-1.3927519520862293,-2.4343877297072947,-1.4232760774377622
CSMD1,-2.415312315712035,1.0249187129172779,-1.0249187129172779,-1.4316324878844517
SGCZ,-2.2835936965489525,-1.6147014481308872,1.6147014481308872,-1.8692356665554608
XKR6,-2.1837707905121344,-1.9818542953090021,1.7301902578094466,-1.7301902578094466
LRRN3,-1.1648134909019945,-2.417992143182761,-1.5112450894892255,1.1648134909019945
MFHAS1,-2.4133399126664936,-1.5526434186223823,1.4258970171021879,-1.4258970171021879
MSRA,-2.2750211718212285,-1.8761133499128488,1.6378767340509,-1.6378767340509
DLC1,-2.2046566233822644,-1.8387541102582168,1.8387541102582168,-1.8746760464781576
MCPH1,-2.3036967498688834,1.6668575041118605,-1.6668575041118605,-1.7991477822159767
CCSER1,-0.7297803736604588,-2.383949220624165,0.7297803736604588,-0.8919537900294495
FAM86B3P,-2.0355060002626684,1.6514482643640518,-2.1675258469778176,-1.6514482643640518
MTUS1,-2.3119857270115833,-1.7083654823275483,1.7083654823275483,-1.746648182211639
RN7SL5P,-1.1947460510736625,0.5654379895804597,-2.332431707019397,-0.5654379895804597
RN7SKP159,-2.405848485290317,1.4600007945007774,-1.4600007945007774,-1.5758738734294104
DMD,-1.389781493820236,1.0931817847732344,-2.4311907400946406,-1.0931817847732344
MSR1,-2.3658276243824323,-1.6620772099182497,1.5965766302170379,-1.5965766302170379
DLGAP2,-2.1860075860319763,1.7670583782597347,-1.7670583782597347,-1.9582984624869788
MIR383,-2.3179508416080448,-1.5334136336791677,1.5334136336791677,-1.8254924210466286
PARK2,-1.6245509970069492,-2.097695588830886,1.6245509970069492,-2.119293484211384
PTPRN2,-1.619751910993997,-1.5283552514394767,-2.388055080374182,1.5283552514394767
ASAH1,-2.283634004508852,-1.4234444546905858,1.4234444546905858,-1.9086285294723393
KIF13B,-0.9755786946556915,-2.1103622560466064,-0.016085078171086883,0.016085078171086883
SLC18A1,-1.287010897214955,-2.2566424081264165,0.4178967422456327,-0.4178967422456327
GRB7,-1.4796725239775506,-0.04264063472639934,0.04264063472639934,-1.9594386909988337
GATA6,-1.5830902387690706,1.5830902387690706,-2.2854204406210568,-1.8773096476530111
CDKN2A,-2.1150310562651895,1.4516304465606296,-2.1268073984492943,-1.4516304465606296
NRG1,-1.53731849286987,-2.399742035205887,1.0682081523173204,-1.0682081523173204
GFRA2,-1.3149244517361829,-2.3055859804228604,0.548949042957824,-0.548949042957824
