,Subtype_0,Subtype_1,Subtype_2,Subtype_3
PGA4,-2.302910373910146,-0.6156840316994865,0.6156840316994865,-1.4302993159433781
LIPF,-0.24909597569389424,-2.2173312103889447,-0.5661531948655366,0.24909597569389424
GKN1,-1.3862812897869152,-2.422974071450388,1.0269085261402269,-1.0269085261402269
XIST,-0.8858192359676786,-0.5597952582539982,-2.3432523374845737,0.5597952582539982
PGC,-2.246654945513259,0.7171542241037283,-1.6867795348416001,-0.7171542241037283
REG3A,-2.081962048216173,-0.49020307419924913,0.49020307419924913,-1.774252194020555
RPS4Y1,-1.0020795090743744,0.15037994728148782,-0.15037994728148782,-2.1789394761869
REG1A,-2.160588879158845,-1.5816535093344088,1.5816535093344088,-2.06256556988755
C20orf114,-0.8113264085584919,-0.8316302460463116,-2.3915283705646724,0.8113264085584919
MUC2,-1.3509426817316206,-2.312970690814293,1.3509426817316206,-1.8536273580970533
MUC6,-0.49494862403867323,-0.09074372386838661,0.09074372386838661,-2.148394579012
OLFM4,-1.9633074405786253,0.572320812237025,-0.572320812237025,-1.9771750592949922
DAZ1,-1.648741652391981,1.097387118921718,-1.097387118921718,-2.3719171598851907
FABP1,-2.0259620504388516,-0.42933392427053935,0.42933392427053935,-1.7986652468900302
TFF2,-0.7672526376611585,-2.3583043251031217,-1.4179602416569426,0.7672526376611585
SI,-1.9528554120396877,-0.714520962380211,0.714520962380211,-2.0709025239321983
KRT20,-2.1793963040404543,-2.0258345055761846,1.6352150670855596,-1.6352150670855596
MAGEA6,-1.5014299480032096,-2.1335717873455136,0.3187379249233577,-0.3187379249233577
REG4,-1.9930089192601834,-0.9926795340979837,0.9926795340979837,-2.1579550012189452
GSTT1,-0.556696855613694,-0.04444022391364514,-2.135516899372457,0.04444022391364514
PSCA,-1.2278578697547111,-0.41378013646491163,-2.2674747281702574,0.41378013646491163
SPRR3,-0.6274139976730185,-1.724800791044169,-2.186792148510723,0.6274139976730185
DMBT1,-2.223690306691142,-0.3478411634516026,0.3478411634516026,-1.2868529708108118
KRT13,0.0026921195365234587,-0.28537701232387586,-2.0780132855169873,-0.0026921195365234587
GIF,-0.9765222339568602,-2.1327282619995915,-0.05638007354249208,0.05638007354249208
CHGA,-1.2490015929306342,-2.449327994192872,1.2340978335662962,-1.2340978335662962
DPCR1,-0.9606979189131071,-2.421295382730967,-1.3171183812956606,0.9606979189131071
CCL25,-1.1444365462935882,-2.3877919837876753,0.7337972219892817,-0.7337972219892817
KRT6A,0.031185482632175774,-0.6736697849868518,-2.1361105145365062,-0.031185482632175774
MUC17,-2.1698883508906577,-0.771571625652484,0.771571625652484,-1.8601260059228402
GSTM1,0.5857421317652255,-2.3319669906804092,-0.6980723069204297,-0.5857421317652255
MUC5B,1.6018798644686345,-1.6018798644686345,-2.3621938868573724,-1.6715600987521448
APOA4,-2.2799012355733854,-1.620717159938151,1.620717159938151,-1.874005399077284
GP2,-2.363519354583698,0.8120202658591869,-0.8120202658591869,-1.4513659788007514
DES,-0.49157934861476765,0.49157934861476765,-1.6772783752345877,-2.143313219626289
ANXA10,-1.8942116097315393,1.3014485920667176,-1.3014485920667176,-2.2884809088339013
MSMB,-0.35421417175389525,-2.2419764332271876,-1.2209419194120343,0.35421417175389525
APOB,-0.8617330508712489,-2.4165708375836825,0.8617330508712489,-1.0867682225496038
SLC6A19,-1.5951998325731012,-0.12940818305477358,0.12940818305477358,-1.9556977302488583
KRT4,-0.5210450806961181,-1.5305860806681701,-2.228278447053843,0.5210450806961181
CXCL17,-0.9653159409608404,0.31986950251267293,-2.2601214168679693,-0.31986950251267293
CXCL5,-2.137440246275279,-2.10457371663076,1.3925212643482128,-1.3925212643482128
REG1B,-2.1463864522619387,-0.8561754799242454,0.8561754799242454,-1.9425650423032679
SPINK4,-1.7571403649253379,-0.11080296409757763,0.11080296409757763,-1.8133065302775264
CLDN18,-2.2100949391291733,1.5456506484663717,-2.007621846045941,-1.5456506484663717
ITLN1,-2.3599570681243347,-0.6275521487931741,0.6275521487931741,-0.870131048850171
KLK6,-1.4845626326047237,0.7539957817146227,-0.7539957817146227,-2.3369701834278898
CDX1,-1.8885292808380427,-0.46729901241479377,0.46729901241479377,-1.976949675825278
VSIG1,-0.03232819004692156,-2.07784895637116,-0.2332418638431822,0.03232819004692156
C6orf58,-0.785706751602077,-2.340256516682678,0.575683437484078,-0.575683437484078
APOA1,-2.1940584264351535,-0.6048494492547392,0.17440937205602458,-0.17440937205602458
PIGR,-1.2329642334206388,-2.420687517461729,0.9128268786096176,-0.9128268786096176
CLCA1,-1.7706220286783818,-1.9903310205231133,1.7706220286783818,-2.1616911572667354
FER1L6,-1.703730917952605,0.062311276778377105,-0.062311276778377105,-1.8178014336447752
KRT5,-0.01591452320878811,-1.5042999893939013,-1.9243319026554149,0.01591452320878811
AKR1B10,-1.9137392321375872,0.08478923496462373,-0.08478923496462373,-1.605526958673506
HMGCS2,-2.4112760175466166,-0.8324576087863524,0.8324576087863524,-1.087733128258878
KRT6B,-0.6089017644467019,0.6089017644467019,-2.3548463504845896,-0.8621034628073894
TM4SF20,-2.048433929767611,-1.220895569184615,1.220895569184615,-2.1706224042367555
MEP1A,-2.0142420405768044,-0.4440398458258098,0.4440398458258098,-1.8260989698239878
TFF1,-2.0206609811924565,-2.205682743349881,1.4973746506069219,-1.4973746506069219
DSG3,-1.9723603799714824,-1.9274302047264664,1.9274302047264664,-2.0867066326584927
SLC26A3,-1.5055801231164512,-2.06904386652484,1.5055801231164512,-2.165603746574738
SLC28A2,-0.9286664122545499,-2.134622877492928,-0.048897806043378206,0.048897806043378206
PIK3C2G,-0.9538372138451534,0.18349806548041545,-2.2003568315685067,-0.18349806548041545
ATP4B,-0.49614581654254386,-2.324601874428464,-0.9952801247226218,0.49614581654254386
RBP2,-1.7675561226128933,-0.047002656540942676,0.047002656540942676,-1.7427324111338276
CPS1,-1.3221446562888706,-2.437781757879207,1.0839866707711845,-1.0839866707711845
PHGR1,-2.2221112482176957,0.6353975003796041,-0.6353975003796041,-1.6645675510547808
SLC13A2,-1.564069791467134,-0.3605742591757294,0.3605742591757294,-2.1285689604373372
LTF,-0.7036422760769365,0.7036422760769365,-1.434857711348975,-2.3337240147040887
AQP5,-1.6863432556451086,1.6863432556451086,-2.121470995011535,-2.0765359589310592
DUOX2,-2.050687906757934,0.9156960073075574,-0.9156960073075574,-2.0777234326452003
CTSE,-1.4504826711172036,1.4504826711172036,-2.3979594297876,-1.614930737126591
RHCG,-1.5828389999938728,-2.3741189156665388,0.9978379136638842,-0.9978379136638842
SMYD1,-0.04071629277360532,-0.536730500394444,0.04071629277360532,-2.132039196530454
ALDOB,-2.033467940488151,-2.1994187282141495,1.4075806361035192,-1.4075806361035192
LYPD2,-0.4252777794951687,0.4252777794951687,-2.299647598103837,-0.996493915021963
CHP2,-1.2960498224660364,-2.429166208576044,0.996378493404487,-0.996378493404487
HOXC10,-2.0916241161502187,1.9313560627715427,-1.9625636148405994,-1.9313560627715427
LY6D,-1.1534422615933715,1.1534422615933715,-2.417947157317686,-1.506078842864805
FABP2,-2.2462084698023514,-1.328568975610985,1.328568975610985,-1.965439939047185
THBS4,-0.42205859971231835,0.42205859971231835,-1.79015956367707,-2.0276248175474056
DKK1,0.05995266673392951,-0.05995266673392951,-2.1372856400686593,-0.5082070217543306
SCEL,-0.06390823946179826,-0.5970125333019183,-2.1473416738574773,0.06390823946179826
SLC9A3,1.1929879171731317,-1.3293457740827574,-1.1929879171731317,-2.4450813010953762
GC,-0.7914289486053391,-2.3872807077145333,-1.2978863928474462,0.7914289486053391
UGT2A3,-2.1762980229267486,-1.775978396685224,-0.6678540429488478,0.6678540429488478
PRSS1,-2.106793903238175,1.2597720288698964,-2.123731415940589,-1.2597720288698964
MTTP,-2.0317675299581412,-2.0063982999722265,1.9591142617505717,-1.9591142617505717
PRAP1,-2.2053002821198877,1.3328907021302356,-1.3328907021302356,-2.022395496554164
PLA2G2A,-1.4539677646209228,0.4400947972870306,-2.2180146795810702,-0.4400947972870306
IGF2BP1,0.20745932494045266,-2.1964368751787995,-1.0814526486077134,-0.20745932494045266
PRAME,-1.2434588649734157,-2.3711021377905155,1.2434588649734157,-1.703788244708559
KLK7,-1.219693680717585,-0.6084232127116962,0.6084232127116962,-2.3437972020993674
