,Subtype_0,Subtype_1,Subtype_2,Subtype_3
MIMAT0005923,-0.9158574917160055,0.9158574917160055,-2.383003551441251,-1.482580495409989
MIMAT0003882,-2.097052732861771,0.047962615113450145,-0.047962615113450145,-0.2926839572644951
MIMAT0003215,-2.0996605519741554,0.15152715200169745,-0.15152715200169745,-1.3366235190838898
MIMAT0000102,-2.2284026522822047,-0.4492494025204962,0.34807935827405456,-0.34807935827405456
MIMAT0004608,-2.1963114539263535,1.5489582782293212,-1.5489582782293212,-2.0252767596509047
MIMAT0019716,-0.03228360737299727,-2.0817942534506835,0.03228360737299727,-0.2502838143109217
MIMAT0004185,-0.9447079521422257,-2.4261718405204933,0.9447079521422257,-1.2321148618571671
MIMAT0003883,-1.071600195918122,-2.3260830854705667,0.5117074952308277,-0.5117074952308277
MIMAT0014996,-0.07616183546934668,-1.8034387992112415,0.07616183546934668,-1.7337466956752638
MIMAT0000266,-1.2959306133243842,0.794265157132554,-2.388284592968493,-0.794265157132554
MIMAT0022720,-0.20769870495581996,-1.6992332082610073,-1.9428534803115949,0.20769870495581996
MIMAT0019059,-1.6393667427375969,-2.3266645972212885,-1.7575077072975605,1.6393667427375969
MIMAT0005458,-1.2711156870668594,-2.4324552849092527,1.0048218840115906,-1.0048218840115906
MIMAT0026615,-2.1256758102122904,0.36405379218820144,-0.36405379218820144,-1.5739693190593762
MIMAT0004977,-2.1245075372423865,1.6581246093925441,-1.6581246093925441,-2.0826850019100527
MIMAT0000724,-0.819610142527743,-1.909382228516857,-2.155973434368908,0.819610142527743
MIMAT0004605,-0.6601478359413112,-2.369168597846876,0.6601478359413112,-0.89335713018833
MIMAT0000462,-1.9005087477071534,1.4830214696227177,-2.2853154007657626,-1.4830214696227177
MIMAT0025841,-1.536019840635279,-1.4905082774143579,1.4905082774143579,-2.409946528285457
MIMAT0025477,-1.5469252600386048,-0.07468136150579395,-1.9443308464750457,0.07468136150579395
MIMAT0004770,-1.3325055715166443,1.2930180483380986,-2.4458748740647516,-1.2930180483380986
MIMAT0000738,-1.6303629266808617,1.6303629266808617,-2.3528325065936677,-1.6830930540988573
MIMAT0004764,-1.4685121911798589,1.4685121911798589,-1.642144542131843,-2.3895266246456743
MIMAT0000454,-1.7717462237280603,1.7717462237280603,-2.100078839091213,-2.0631314591402106
MIMAT0000421,-0.9706918167091877,-2.388948656745234,-1.5081694246168509,0.9706918167091877
MIMAT0007885,1.507092081598132,-1.8143691785892588,-2.325954389182061,-1.507092081598132
MIMAT0004752,-0.7353351116627691,-2.3090823612826963,0.7353351116627691,-1.552595753018317
MIMAT0005895,-2.069160823080167,1.1339352945696937,-2.133973101833276,-1.1339352945696937
MIMAT0026478,0.054676126359770996,-0.054676126359770996,-1.9829273499536082,-1.452895575829415
MIMAT0002810,-2.4293619385607417,-1.4136980284463219,1.4136980284463219,-1.4549743604532412
MIMAT0026476,-1.9889945225047823,0.3601832467549252,-0.3601832467549252,-1.7855323419423847
MIMAT0005900,-1.1585891104123542,1.1585891104123542,-2.118091405048673,-2.092385808002575
MIMAT0002806,-2.0405717725348405,1.783814098168777,-2.114940674733215,-1.783814098168777
MIMAT0018968,-0.4419137450870764,-0.6340349754207814,-2.286895906855671,0.4419137450870764
MIMAT0003214,-0.15833066747855593,0.15833066747855593,-2.0482884486633903,-1.4681167141947589
MIMAT0019738,0.043640021105798586,-2.039592084385396,-0.07820906132616699,-0.043640021105798586
MIMAT0015071,-0.010030734413905912,0.010030734413905912,-2.086547204655491,-0.3134017229496078
MIMAT0004902,-0.2796810513799078,-1.8478490876850113,-1.8730937143679456,0.2796810513799078
MIMAT0004679,-0.2699478703140767,-0.12462007226938039,-2.1193162670429,0.12462007226938039
MIMAT0015078,-1.036966672080069,-0.19918688291415035,0.19918688291415035,-2.1988110994223473
MIMAT0025843,-1.3108415206375468,-2.207071940318746,1.3108415206375468,-2.0178331278906234
