,0,1,2,3
MIMAT0005923,-2.191607310120669,-1.8608142899371458,-2.7215169090884537,-2.396298559245202
MIMAT0003882,-1.7965416289946008,-0.7318902365590323,-0.7562403466755774,-0.8804827720552472
MIMAT0003215,-1.1945203425700128,0.15016328472170182,0.05312089365746586,-0.705849255150631
MIMAT0000102,-1.1585362407108313,-0.4142941319664956,-0.22636747487342715,-0.37197343413913636
MIMAT0004608,-3.4850516303697163,-0.3639249938703381,-2.565113232617218,-3.2419982423293643
MIMAT0019716,-3.2650575557073873,-5.166429451395967,-3.2351074093795624,-3.4673006948290723
MIMAT0004185,-3.7793597938426475,-5.404695304573349,-2.742907002835174,-4.094678081418613
MIMAT0003883,-4.144451647399548,-5.057070963927606,-3.364877014270011,-3.7371372885623524
MIMAT0014996,-1.9855426921201689,-2.4502911125388676,-1.9650502676430386,-2.4315394614059564
MIMAT0000266,-1.2939013036952045,0.5635925304039118,-2.8596030171824487,-0.5748500812949231
MIMAT0022720,-3.002612772697529,-4.036699026745934,-4.2056018405774545,-2.8586145109727568
MIMAT0019059,-4.557568756469707,-4.802027073075472,-4.599589171825442,-3.9744782788627853
MIMAT0005458,-2.305867687910075,-3.4159582883799855,-1.090845330156741,-2.0513252196396032
MIMAT0026615,-0.27975714176742406,1.4986807304197913,1.194096631362743,0.1818258115145602
MIMAT0004977,-3.941030713622236,-2.1500349423979976,-3.547862020686247,-3.905773609277334
MIMAT0000724,-3.8253610056165264,-4.4786035384311065,-4.626417807076454,-3.3340617584538585
MIMAT0004605,-2.667750296161786,-5.163646157910452,-1.7036541958715192,-3.008334872667138
MIMAT0000462,-2.921285513158589,-1.0194220108606986,-3.3063664709687055,-2.503500634335803
MIMAT0025841,-3.64727140859022,-3.613515543760802,-2.508007572186694,-4.295461649737096
MIMAT0025477,-3.7630153967689024,-3.1671593668311235,-3.9238559444832424,-3.1369338453522864
MIMAT0004770,-4.1538497946137225,-2.829913066938934,-5.260059436522669,-4.114616200894874
MIMAT0000738,-2.8136278800985086,-0.6235209096923754,-3.784139192015229,-2.8844615685482715
MIMAT0004764,-4.484100872717753,-3.7779337913976065,-4.567595889804404,-4.9269913561884655
MIMAT0000454,-1.9032476737552715,-0.302722849427129,-2.199850254016206,-2.166473465617565
MIMAT0000421,-4.072528104401168,-4.704038184091933,-4.311851841414235,-3.640306204093172
MIMAT0007885,-4.547724702472562,-4.752696431069423,-4.810490901002675,-4.717982923767966
MIMAT0004752,-2.6652765953554542,-4.138583624567188,-1.9768722857685137,-3.430377756229929
MIMAT0005895,-3.5637762440859655,-2.495860300440605,-3.5972265515982644,-3.0810963858264424
MIMAT0026478,-3.0226801228885485,-3.036569776199145,-3.52641320100983,-3.3917665448487204
MIMAT0002810,-3.3493382453813396,-3.0681153230224782,-2.6766824022171622,-3.0795441535594743
MIMAT0026476,-0.21240053334726322,1.271301334930208,1.0026205768456955,-0.060626753174114804
MIMAT0005900,-2.690550267029668,-1.410908618993854,-3.750303967947477,-3.721912580291411
MIMAT0002806,-0.6120850735470383,0.7470028442305294,-0.6616172085087195,-0.44107601729899315
MIMAT0018968,-2.789919204056139,-2.8654688366790717,-3.515438837026281,-2.6161413189449387
MIMAT0003214,-2.476565615818319,-2.407263209489866,-3.303812946870167,-3.0498678462605575
MIMAT0019738,-2.5063851193421547,-4.487195548967824,-2.5823401720961408,-2.548767421968858
MIMAT0015071,-3.134500151514379,-3.1266714222133505,-4.755167658383219,-3.3712733775843318
MIMAT0004902,-1.770274460617581,-4.140440260523794,-4.178595578965478,-1.3475579866711005
MIMAT0004679,-2.797329318244092,-2.653549478573898,-4.626999175975059,-2.530256796432875
MIMAT0015078,-3.4770295432196336,-3.000335530528814,-2.8869988330820364,-4.138115295531297
MIMAT0025843,-3.849380524080283,-4.4085200779083324,-3.0315737113531753,-4.290457911277514
MIMAT0000429,-4.130184783463703,-4.742989157408578,-3.945981224387911,-3.88921423803899
MIMAT0018115,-1.983717105220252,-2.921941781937954,-1.5833873339700777,-1.5589555541719566
MIMAT0005903,-4.390049598825639,-5.498381002055745,-5.325411230663695,-3.813257190695148
MIMAT0003238,-3.5896221566596775,-3.341720361248844,-3.4879520994059776,-3.307490950185109
MIMAT0022708,-2.8431993504459863,-5.507510118687556,-2.5454963428742374,-2.1067270032529444
MIMAT0018086,-3.2452502171483086,-5.544333716651052,-3.394833073897887,-3.237179656309638
MIMAT0015053,-3.1833542300748654,-1.5861666402618186,-3.3363709573635907,-3.343608465469422
MIMAT0003323,-2.9190492081523556,-1.299511115658603,-3.2439943522827885,-2.8472027629245265
MIMAT0005881,-2.940327111289066,-0.513730177760464,-3.3098947963056107,-3.2775384121839317
MIMAT0004658,-2.2549154794456094,-1.277052059304947,-2.772812312394441,-2.853429510381627
MIMAT0019841,-1.803424978919762,-1.5847104573493735,-1.6264662312612423,-1.8483383916786205
MIMAT0003220,-2.8335137463133857,-0.8535436785096332,-2.432139249838916,-3.5516059691052453
