,Subtype_0,Subtype_1,Subtype_2,Subtype_3
TTN,-2.160550090741184,-1.3787821427132791,1.3787821427132791,-2.0791159294882773
TP53,-2.113005332336538,-1.3439711977086473,1.3439711977086473,-2.1270132400711086
MUC16,-2.1916620582571777,0.7445714215975286,-0.7445714215975286,-1.8082448810225697
LRP1B,-0.8698282905396729,-2.2766810039342755,-0.3557314068647303,0.3557314068647303
ARID1A,-1.5855791092598515,-2.0978431291745725,-0.32778798893352673,0.32778798893352673
SYNE1,-0.788567152013838,-2.2896338851077034,0.39977734501880524,-0.39977734501880524
CSMD3,-1.5825679522419955,0.8793435325353073,-0.8793435325353073,-2.344916086760819
FLG,-2.3492727425448527,1.0779437431493915,-1.0779437431493915,-1.701244547011284
FAT4,-1.237955007709387,-2.4144133303705755,0.8814524856908451,-0.8814524856908451
PCLO,-1.0123779428739481,-2.4378060864404674,1.0123779428739481,-1.1376428403388847
CSMD1,-0.7246797838162732,-0.7653635611533268,0.7246797838162732,-2.3689824511888693
HMCN1,-2.1226577610965425,1.4065045635596631,-1.4065045635596631,-2.119948907394275
OBSCN,-2.1028775055248143,-0.2870594690081491,0.2870594690081491,-1.5264273352020636
DNAH5,-2.249717288184262,-1.7289316691322456,1.7289316691322456,-1.875296254878891
RYR2,-0.16704437394900776,-2.124522108112027,0.16704437394900776,-0.23605801201244755
ZFHX4,-1.9452816286703747,1.52298659723633,-2.255191692061488,-1.52298659723633
SPTA1,-1.1098370817376426,-2.266356591608076,0.3669339243555932,-0.3669339243555932
FAT3,-2.426415030834248,-1.0056467115746759,-1.335624538810117,1.0056467115746759
KMT2D,-1.7489094509751981,1.4628367291092286,-2.3563307539912857,-1.4628367291092286
PCDH15,-0.4052250209188321,0.21175821405654247,-0.21175821405654247,-2.1780844874387206
PIK3CA,-0.6788066003447932,-2.2452833703712396,-1.6558964856487892,0.6788066003447932
AHNAK2,-1.572081443297522,0.26201357388292085,-2.063356894327997,-0.26201357388292085
SACS,-2.2318702411001885,0.35154000134545166,-0.46139625176590465,-0.35154000134545166
PLEC,-1.087330207196863,0.5682055423025276,-2.3438478619979253,-0.5682055423025276
DNAH11,-1.0784010258254588,-2.4405917952891962,1.0784010258254588,-1.2784052261038648
COL12A1,-1.784505636936056,1.784505636936056,-1.9943175620708649,-2.1525967336637906
RYR3,0.6223595935748376,-2.348905562846968,-1.2158597705121323,-0.6223595935748376
KMT2C,-0.559138479315333,-2.3054887982728114,-0.5763721995682027,0.559138479315333
USH2A,-2.086973730380191,1.1298185123101396,-1.1298185123101396,-2.1161680071840707
CUBN,0.11544938684811148,-1.944410725862928,-0.11544938684811148,-1.5960371374791535
LRRK2,-1.3775591242897953,-2.441962876391216,1.3256369900409457,-1.3256369900409457
LAMA1,-0.423076972633854,-2.287655726277666,0.423076972633854,-1.1256718653112325
DNAH9,-1.2052507177911267,-2.371114157223066,1.2052507177911267,-1.6936529694450473
DMD,-0.2509777932973593,-2.1584090223572905,-0.2698011277946612,0.2509777932973593
RYR1,-1.9294559697594527,0.21948837751231914,-1.7284709729095096,-0.21948837751231914
GPR98,-1.5360758443127562,-0.6377363160526062,0.6377363160526062,-2.27762970018788
