,0,1,2,3
TTN,0.5149501661129569,0.6,0.75,0.5238095238095238
TP53,0.47840531561461797,0.6,0.8125,0.47619047619047616
MUC16,0.30564784053156147,0.6,0.5,0.35714285714285715
LRP1B,0.2823920265780731,0.2,0.3125,0.3333333333333333
ARID1A,0.23255813953488372,0.2,0.3125,0.3333333333333333
SYNE1,0.24584717607973422,0.0,0.375,0.30952380952380953
CSMD3,0.2425249169435216,0.4,0.3125,0.16666666666666666
FLG,0.20930232558139536,0.4,0.3125,0.2619047619047619
FAT4,0.18272425249169436,0.0,0.375,0.23809523809523808
PCLO,0.18272425249169436,0.0,0.3125,0.16666666666666666
CSMD1,0.2026578073089701,0.2,0.25,0.09523809523809523
HMCN1,0.16611295681063123,0.6,0.3125,0.16666666666666666
OBSCN,0.16279069767441862,0.4,0.4375,0.23809523809523808
DNAH5,0.16611295681063123,0.2,0.3125,0.19047619047619047
RYR2,0.17275747508305647,0.0,0.1875,0.16666666666666666
ZFHX4,0.16279069767441862,0.4,0.125,0.21428571428571427
SPTA1,0.15946843853820597,0.0,0.3125,0.2619047619047619
FAT3,0.1461794019933555,0.2,0.1875,0.23809523809523808
KMT2D,0.14950166112956811,0.4,0.0625,0.19047619047619047
PCDH15,0.1760797342192691,0.2,0.1875,0.07142857142857142
PIK3CA,0.16611295681063123,0.0,0.0625,0.23809523809523808
AHNAK2,0.14285714285714285,0.2,0.125,0.19047619047619047
SACS,0.13953488372093023,0.2,0.1875,0.19047619047619047
PLEC,0.1362126245847176,0.2,0.0625,0.16666666666666666
DNAH11,0.13953488372093023,0.0,0.25,0.11904761904761904
COL12A1,0.132890365448505,0.2,0.125,0.11904761904761904
RYR3,0.12956810631229235,0.0,0.0625,0.09523809523809523
KMT2C,0.12624584717607973,0.0,0.125,0.16666666666666666
USH2A,0.12292358803986711,0.4,0.25,0.11904761904761904
CUBN,0.132890365448505,0.0,0.125,0.023809523809523808
LRRK2,0.1362126245847176,0.0,0.3125,0.14285714285714285
LAMA1,0.15282392026578073,0.0,0.1875,0.09523809523809523
DNAH9,0.12292358803986711,0.0,0.25,0.07142857142857142
DMD,0.12624584717607973,0.0,0.125,0.14285714285714285
RYR1,0.11627906976744186,0.2,0.125,0.19047619047619047
GPR98,0.12956810631229235,0.2,0.25,0.07142857142857142
XIRP2,0.11295681063122924,0.0,0.125,0.14285714285714285
ANK3,0.12292358803986711,0.2,0.125,0.09523809523809523
MUC17,0.13953488372093023,0.2,0.25,0.047619047619047616
SYNE2,0.12624584717607973,0.2,0.125,0.09523809523809523
FAT2,0.10631229235880399,0.2,0.1875,0.19047619047619047
GLI3,0.10963455149501661,0.0,0.375,0.16666666666666666
NBEA,0.12956810631229235,0.0,0.0625,0.11904761904761904
MDN1,0.10631229235880399,0.0,0.0625,0.16666666666666666
NEB,0.11295681063122924,0.2,0.125,0.11904761904761904
RNF213,0.10631229235880399,0.2,0.125,0.14285714285714285
SDK1,0.11295681063122924,0.2,0.0625,0.16666666666666666
PREX2,0.11295681063122924,0.2,0.1875,0.16666666666666666
PCDH10,0.11627906976744186,0.0,0.1875,0.07142857142857142
DNAH3,0.10963455149501661,0.2,0.0625,0.09523809523809523
ERBB4,0.11627906976744186,0.0,0.0625,0.16666666666666666
VPS13B,0.11295681063122924,0.2,0.0625,0.14285714285714285
DOCK3,0.09302325581395349,0.2,0.125,0.11904761904761904
PXDN,0.10631229235880399,0.4,0.125,0.16666666666666666
PTPRT,0.11960132890365449,0.0,0.125,0.09523809523809523
LRP2,0.09302325581395349,0.2,0.125,0.16666666666666666
NAV3,0.10631229235880399,0.4,0.0625,0.14285714285714285
APOB,0.11960132890365449,0.2,0.25,0.14285714285714285
APC,0.09302325581395349,0.2,0.0625,0.14285714285714285
CMYA5,0.11627906976744186,0.0,0.1875,0.11904761904761904
TG,0.09302325581395349,0.4,0.25,0.16666666666666666
ABCA12,0.10963455149501661,0.2,0.1875,0.11904761904761904
TRRAP,0.09966777408637874,0.2,0.1875,0.11904761904761904
PLXNA4,0.10631229235880399,0.2,0.0625,0.07142857142857142
MUC5B,0.09302325581395349,0.4,0.25,0.19047619047619047
ABCA13,0.12292358803986711,0.2,0.0625,0.07142857142857142
RELN,0.10631229235880399,0.0,0.25,0.11904761904761904
MUC6,0.10631229235880399,0.0,0.125,0.14285714285714285
DNAH10,0.09966777408637874,0.0,0.0625,0.11904761904761904
ACVR2A,0.10299003322259136,0.2,0.0625,0.09523809523809523
DNAH8,0.10299003322259136,0.0,0.125,0.09523809523809523
RIMS2,0.09966777408637874,0.0,0.1875,0.14285714285714285
HERC2,0.09966777408637874,0.0,0.125,0.09523809523809523
RP1,0.10963455149501661,0.0,0.1875,0.07142857142857142
DNAH7,0.09634551495016612,0.0,0.1875,0.09523809523809523
NALCN,0.09302325581395349,0.0,0.25,0.14285714285714285
CNTNAP5,0.10963455149501661,0.0,0.3125,0.07142857142857142
NRXN1,0.10963455149501661,0.0,0.1875,0.11904761904761904
BAI3,0.09634551495016612,0.0,0.1875,0.09523809523809523
TCHH,0.09634551495016612,0.2,0.0625,0.11904761904761904
CSMD2,0.09966777408637874,0.0,0.0625,0.11904761904761904
CACNA1E,0.09966777408637874,0.2,0.1875,0.047619047619047616
DST,0.09302325581395349,0.4,0.0625,0.047619047619047616
REV3L,0.10963455149501661,0.0,0.125,0.047619047619047616
PCDH17,0.09302325581395349,0.0,0.25,0.16666666666666666
NIPBL,0.09302325581395349,0.0,0.1875,0.14285714285714285
FCGBP,0.10963455149501661,0.0,0.0625,0.023809523809523808
MYCBP2,0.09302325581395349,0.2,0.125,0.11904761904761904
